date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:39	33947/33947	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:37%20GMT	https://yogurtworld.co.kr/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/index.html	(from )
11:51:39	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202024%2002:51:37%20GMT	https://yogurtworld.co.kr/robots.txt		(from )
11:51:40	21769/21769	---M--	200	added ('OK')	image/png	etag:%225509-61d5725784aca%22	https://yogurtworld.co.kr/images/yogurtworldthumb.png	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/yogurtworldthumb.png	(from https://yogurtworld.co.kr/)
11:51:40	100944/100944	---M--	200	added ('OK')	image/x-icon	etag:%2218a50-61d572578b05a%22	https://yogurtworld.co.kr/images/yogurtworldfavi.ico	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/images/yogurtworldfavi.ico	(from https://yogurtworld.co.kr/)
11:51:40	25599/25599	---MCZ	200	added ('OK')	text/css	etag:W/%2263ff-61d569d1daf6b%22	https://yogurtworld.co.kr/theme/design/css/default.css?ver=2303229	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/theme/design/css/defaultaa39.css	(from https://yogurtworld.co.kr/)
11:51:40	60830/60830	---MCZ	200	added ('OK')	text/css	etag:W/%22ed9e-61e829d4725bc%22	https://yogurtworld.co.kr/theme/design/template/header/style.css?ver=2303229	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/theme/design/template/header/styleaa39.css	(from https://yogurtworld.co.kr/)
11:51:40	17349/17349	---MCZ	200	added ('OK')	text/css	etag:W/%2243c5-61e659400dfa6%22	https://yogurtworld.co.kr/theme/design/template/intro/style.css?ver=2303229	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/theme/design/template/intro/styleaa39.css	(from https://yogurtworld.co.kr/)
11:51:41	34520/34520	---MCZ	200	added ('OK')	text/css	etag:W/%2286d8-61e81a4302b24%22	https://yogurtworld.co.kr/theme/design/template/footer/style.css?ver=2303229	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/theme/design/template/footer/styleaa39.css	(from https://yogurtworld.co.kr/)
11:51:41	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2020%20Aug%202024%2002:51:39%20GMT	https://yogurtworld.co.kr/bbs	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs	(from https://yogurtworld.co.kr/)
11:51:41	93637/93637	---MCZ	200	added ('OK')	application/javascript	etag:W/%2216dc5-61647a9970600%22	https://yogurtworld.co.kr/js/jquery-1.8.3.min.js	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/js/jquery-1.8.3.min.js	(from https://yogurtworld.co.kr/)
11:51:41	2930/2930	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b72-61647a9970600%22	https://yogurtworld.co.kr/js/jquery.menu.js?ver=2304171	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/js/jquery.menub519.js	(from https://yogurtworld.co.kr/)
11:51:41	21116/21116	---MCZ	200	added ('OK')	application/javascript	etag:W/%22527c-61647a9970600%22	https://yogurtworld.co.kr/js/common.js?ver=2304171	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/js/commonb519.js	(from https://yogurtworld.co.kr/)
11:51:42	11096/11096	---MCZ	200	added ('OK')	application/javascript	etag:W/%222b58-61647a9970600%22	https://yogurtworld.co.kr/js/wrest.js?ver=2304171	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/js/wrestb519.js	(from https://yogurtworld.co.kr/)
11:51:42	5103/5103	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213ef-61647a9970600%22	https://yogurtworld.co.kr/js/placeholders.min.js	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/js/placeholders.min.js	(from https://yogurtworld.co.kr/)
11:51:42	213/213	---M--	403	error ('Forbidden')	text/html	date:Tue,%2020%20Aug%202024%2002:51:40%20GMT	https://yogurtworld.co.kr/bbs/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/index.html	(from https://yogurtworld.co.kr/)
11:51:42	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%227918-61647a9970600%22	https://yogurtworld.co.kr/js/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/js/font-awesome/css/font-awesome.min.css	(from https://yogurtworld.co.kr/)
11:51:42	212/212	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Aug%202024%2002:51:41%20GMT	https://yogurtworld.co.kr/css/header.css	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/css/header.css	(from https://yogurtworld.co.kr/)
11:51:43	289965/289965	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:41%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=menu	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/contente98e.html	(from https://yogurtworld.co.kr/)
11:51:43	289965/289965	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:41%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=menu&id=yogurt	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content18e8.html	(from https://yogurtworld.co.kr/)
11:51:43	289965/289965	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:41%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=menu&id=greek	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content0759.html	(from https://yogurtworld.co.kr/)
11:51:43	289965/289965	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:41%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=menu&id=coffee	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/contentfb5e.html	(from https://yogurtworld.co.kr/)
11:51:44	289965/289965	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:42%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=menu&id=drink	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/contentb5a0.html	(from https://yogurtworld.co.kr/)
11:51:44	289965/289965	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:42%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=menu&id=dessert	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content3ba5.html	(from https://yogurtworld.co.kr/)
11:51:44	56486/56486	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:42%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=brand/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content7438.html	(from https://yogurtworld.co.kr/)
11:51:44	40836/40836	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:42%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=interior/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content2ccf.html	(from https://yogurtworld.co.kr/)
11:51:44	111228/111228	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Aug%202024%2002:51:43%20GMT	https://yogurtworld.co.kr/bbs/content.php?co_id=community/	C:/My%20Web%20Sites/yw/yogurtworld.co.kr/bbs/content1ea6.html	(from https://yogurtworld.co.kr/)
